model,register,rarity,layer,auroc,ci_lo,ci_hi,n
gemma-3-4b-it,textbook,rare,3,0.625,0.1875,1.0,8.0
gemma-3-4b-it,patient,common,3,0.6229247675401521,0.5994400434730105,0.6492618041299361,910.0
gemma-3-4b-it,patient,rare,3,0.5934903047091413,0.4695290858725762,0.7237015235457064,76.0
gemma-3-4b-it,clinical_note,common,3,0.5401328341987682,0.5184388358893853,0.5616587368675281,910.0
gemma-3-4b-it,clinical_note,rare,3,0.4799168975069252,0.3981821329639889,0.5574965373961219,76.0
gemma-3-4b-it,colloquial,common,3,0.6055065813307572,0.5801176790242725,0.6313414442700156,910.0
gemma-3-4b-it,colloquial,rare,3,0.6502770083102494,0.5456890581717452,0.7444598337950138,76.0
gemma-3-4b-it,textbook,common,5,0.6810774105930285,0.6151822091444091,0.7388014938886374,188.0
gemma-3-4b-it,textbook,rare,5,0.6875,0.1875,1.0,8.0
gemma-3-4b-it,patient,common,5,0.6719913053978989,0.6478581089240429,0.6972604757879484,910.0
gemma-3-4b-it,patient,rare,5,0.675207756232687,0.5768524930747922,0.7756752077562326,76.0
gemma-3-4b-it,clinical_note,common,5,0.5417509962564908,0.5218011109769352,0.5601771525178119,910.0
gemma-3-4b-it,clinical_note,rare,5,0.5048476454293629,0.4439058171745152,0.5775796398891967,76.0
gemma-3-4b-it,colloquial,common,5,0.5884748218814152,0.5632052892162782,0.6139655838666828,910.0
gemma-3-4b-it,colloquial,rare,5,0.5962603878116344,0.4771295013850415,0.7050207756232686,76.0
gemma-3-4b-it,textbook,common,7,0.7381167949298325,0.674380375735627,0.7970801267541874,188.0
gemma-3-4b-it,textbook,rare,7,0.5625,0.25,0.8125,8.0
gemma-3-4b-it,patient,common,7,0.656720202874049,0.6344932979108803,0.6793748339572516,910.0
gemma-3-4b-it,patient,rare,7,0.6509695290858726,0.5720048476454295,0.7403047091412742,76.0
gemma-3-4b-it,clinical_note,common,7,0.5307378335949764,0.510473372781065,0.5508901098901099,910.0
gemma-3-4b-it,clinical_note,rare,7,0.5699445983379502,0.5041551246537397,0.6405817174515236,76.0
gemma-3-4b-it,colloquial,common,7,0.5882188141528801,0.5634605120154571,0.6156170148532786,910.0
gemma-3-4b-it,colloquial,rare,7,0.6668975069252077,0.5677977839335179,0.7742382271468143,76.0
gemma-3-4b-it,textbook,common,9,0.7030330466274333,0.6298070393843368,0.765428361249434,188.0
gemma-3-4b-it,textbook,rare,9,0.625,0.4375,0.8125,8.0
